scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,fallback_selection_fraction,ancillary_available_fraction,mean_active_ancillary_modes,assist_fraction,mean_ess,min_ess
static,vanilla,0,0,1024,56,slip,collision,0,23.7,5.96,-0.025,4.3,55.795,69.503,98.775,5.7999,3.2001,0.8331,1.4973,26.62,17.806,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,0,1024,56,slip,collision,0,29.1,7.24,-0.0,3.85,146.785,192.215,245.035,6.8257,2.1743,0.0521,0.2018,85.639,6.796,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,0,0,1024,56,slip,success,1,20.6,9.02,0.115,0.1,197.285,267.373,433.629,8.5075,0.4925,0.0995,0.3317,81.412,5.061,0,18,0.0,1.0,0.7111650485436893,1.3446601941747574,0.0,124.47802512805741,1.0463885246588618
static,vanilla,0,1,1024,56,slip,collision,0,22.85,5.88,-0.004,3.2,57.079,75.581,103.01,5.716,3.284,0.8205,1.5343,26.251,17.409,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,1,1024,56,slip,collision,0,29.9,7.19,-0.019,4.9,141.549,174.582,259.899,6.8015,2.1985,0.0634,0.2029,84.849,7.048,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,0,1,1024,56,slip,success,1,21.1,9.14,0.127,0.05,191.596,241.762,311.666,8.5155,0.4845,0.1016,0.371,80.989,5.211,0,13,0.0,1.0,0.6919431279620853,1.3744075829383886,0.0,123.65088339883451,1.0758693634307912
static,vanilla,0,2,1024,56,slip,collision,0,23.4,6.0,-0.0,3.95,43.325,53.663,79.522,5.7849,3.2151,0.7801,1.5094,20.426,22.912,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,2,1024,56,slip,collision,0,30.0,7.23,-0.0,4.5,127.979,166.675,198.407,6.8405,2.1595,0.0575,0.1985,76.96,7.796,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,0,2,1024,56,slip,success,1,20.7,9.05,0.127,0.1,171.655,233.367,468.22,8.5024,0.4976,0.0971,0.4311,71.171,5.817,0,29,0.0,1.0,0.7028985507246377,1.391304347826087,0.0,121.60171944747829,1.0679314204478878
static,vanilla,0,3,1024,56,slip,collision,0,31.45,6.58,-0.004,8.25,39.815,64.557,104.978,5.5562,3.4438,1.0751,2.1692,25.221,24.94,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,3,1024,56,slip,collision,0,28.95,7.26,-0.0,3.95,121.143,149.425,229.091,6.8557,2.1443,0.0609,0.2019,70.299,8.236,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,0,3,1024,56,slip,success,1,20.7,9.09,0.115,0.1,159.41,198.857,207.892,8.5063,0.4937,0.1018,0.3734,66.091,6.264,0,17,0.0,1.0,0.7004830917874396,1.3719806763285025,0.0,125.82721670704728,1.1471473432061772
static,vanilla,0,4,1024,56,slip,collision,0,22.65,5.89,-0.004,3.45,31.998,36.973,41.975,5.7247,3.2753,0.8139,1.5205,14.601,31.026,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,4,1024,56,slip,collision,0,28.8,7.18,-0.004,3.8,117.503,124.75,130.043,6.7928,2.2072,0.0575,0.2033,67.836,8.491,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,0,4,1024,56,slip,success,1,20.85,9.14,0.12,0.1,158.691,203.388,213.653,8.5031,0.4969,0.1037,0.3141,66.27,6.292,0,17,0.0,1.0,0.6642685851318945,1.316546762589928,0.0,123.6029601327066,1.0456935037649122
static,vanilla,1,0,1024,56,slip,collision,0,20.55,4.74,-0.004,4.45,32.989,38.051,44.994,4.7217,4.2783,0.2417,0.3477,13.654,30.102,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,1,0,1024,56,slip,success,1,26.85,9.16,0.149,0.0,119.274,125.846,140.242,8.509,0.491,0.0516,0.1541,64.196,8.365,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,1,0,1024,56,slip,success,1,20.55,9.16,0.139,0.05,157.527,198.271,214.988,8.505,0.495,0.0588,0.1495,64.839,6.339,0,36,0.0,1.0,0.7055961070559611,1.4233576642335766,0.0,142.5633297771669,1.008335701395007
static,vanilla,1,1,1024,56,slip,collision,0,18.5,4.75,-0.004,2.8,33.576,38.861,52.448,4.7226,4.2774,0.2446,0.3635,12.513,29.568,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,1,1,1024,56,slip,success,1,26.95,9.16,0.149,0.0,120.415,126.904,136.818,8.5071,0.4929,0.0555,0.1571,65.057,8.285,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,1,1,1024,56,slip,success,1,20.4,9.13,0.149,0.05,157.917,202.537,212.443,8.5079,0.4921,0.0494,0.1471,64.524,6.323,0,38,0.0,1.0,0.7083333333333334,1.4044117647058822,0.0,143.62407378705214,1.0017584836077826
static,vanilla,1,2,1024,56,slip,collision,0,19.35,4.78,-0.004,3.35,33.162,38.583,41.222,4.7363,4.2637,0.2966,0.4771,12.926,29.941,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,1,2,1024,56,slip,success,1,26.95,9.15,0.15,0.0,120.071,126.473,138.783,8.5062,0.4938,0.0542,0.1563,64.863,8.31,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,1,2,1024,56,slip,success,1,20.7,9.19,0.139,0.1,158.712,198.396,214.059,8.5163,0.4837,0.0594,0.1948,65.803,6.292,0,16,0.0,1.0,0.7125603864734299,1.4371980676328502,0.0,140.09833854750147,1.0199200980485752
static,vanilla,1,3,1024,56,slip,collision,0,20.05,4.84,-0.004,3.45,33.341,39.149,43.575,4.7203,4.2797,0.3415,0.6079,13.465,29.782,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,1,3,1024,56,slip,success,1,26.95,9.16,0.149,0.0,116.548,124.787,139.887,8.5035,0.4965,0.057,0.1464,62.953,8.562,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,amoeba,1,3,1024,56,slip,success,1,20.6,9.18,0.12,0.1,157.217,198.409,215.937,8.5191,0.4809,0.055,0.1485,64.869,6.351,0,44,0.0,1.0,0.7038834951456311,1.395631067961165,0.0,141.33483465766815,1.04186991191014
