scenario,config,world,seed,samples,horizon,robot_model,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,goal_progress_m,final_goal_distance_m,mean_path_error_m,max_path_error_m,wall_time_s,controller_hz,mode_switches,omega_sign_flips,branch_selection_fraction,fallback_selection_fraction,ancillary_available_fraction,mean_active_ancillary_modes,assist_fraction,mean_ess,min_ess
static,vanilla,0,0,1024,56,slip,collision,0,23.45,5.88,-0.009,4.25,107.301,133.881,144.106,5.7233,3.2767,0.826,1.4898,50.456,9.295,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,0,1024,56,slip,collision,0,29.0,7.19,-0.021,3.85,180.258,247.662,336.842,6.781,2.219,0.0519,0.2018,104.668,5.541,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,0,0,1024,56,slip,success,1,21.75,9.05,0.134,0.1,206.472,278.381,383.081,8.5029,0.4971,0.0787,0.286,89.89,4.839,0,17,0.0,1.0,0.0,0.0,0.0,175.49439584037722,8.243759485250797
static,amoeba,0,0,1024,56,slip,success,1,20.7,9.07,0.131,0.1,243.127,374.716,534.473,8.5021,0.4979,0.1104,0.338,100.731,4.11,0,16,0.0,1.0,0.7270531400966184,1.4396135265700483,0.0,127.28778956168453,1.1542394968828513
static,amoeba_nominal_fb,0,0,1024,56,slip,success,1,20.7,9.07,0.131,0.1,259.752,417.881,547.94,8.5021,0.4979,0.1104,0.338,107.614,3.847,0,16,0.0,1.0,0.7463768115942029,1.4661835748792271,0.0,127.28778956168453,1.1542394968828513
static,vanilla,0,1,1024,56,slip,collision,0,22.8,5.85,-0.0,3.2,74.153,95.881,131.226,5.6934,3.3066,0.819,1.5343,33.917,13.445,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,1,1024,56,slip,collision,0,29.8,7.16,-0.006,4.9,225.156,320.296,343.349,6.7738,2.2262,0.0635,0.2029,134.344,4.436,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,0,1,1024,56,slip,success,1,22.05,9.06,0.127,0.05,217.915,314.142,438.715,8.5147,0.4853,0.0776,0.3045,96.179,4.585,0,11,0.0,1.0,0.0,0.0,0.0,174.53210890545952,4.121162182852062
static,amoeba,0,1,1024,56,slip,success,1,21.25,9.22,0.13,0.05,248.9,375.743,548.83,8.5074,0.4926,0.1238,0.478,105.859,4.015,0,13,0.0,1.0,0.6894117647058824,1.3905882352941177,0.0,122.00110651275446,1.0758693634307912
static,amoeba_nominal_fb,0,1,1024,56,slip,success,1,21.25,9.22,0.13,0.05,381.871,547.163,605.839,8.5074,0.4926,0.1238,0.478,162.406,2.617,0,13,0.0,1.0,0.7270588235294118,1.4658823529411764,0.0,122.00110651275446,1.0758693634307912
static,vanilla,0,2,1024,56,slip,collision,0,23.25,5.92,-0.0,3.95,72.365,100.33,126.909,5.7137,3.2863,0.7754,1.5029,33.755,13.776,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_mppi,0,2,1024,56,slip,collision,0,29.85,7.17,-0.008,4.5,204.283,307.209,338.177,6.7863,2.2137,0.0574,0.1985,122.096,4.89,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan
static,path_biased,0,2,1024,56,slip,success,1,21.85,9.02,0.131,0.1,217.548,291.92,373.843,8.5078,0.4922,0.0726,0.2844,95.147,4.593,0,23,0.0,1.0,0.0,0.0,0.0,171.12494795858439,5.597279650003311
static,amoeba,0,2,1024,56,slip,success,1,20.75,9.06,0.129,0.1,261.559,397.402,501.263,8.5153,0.4847,0.0954,0.4347,108.628,3.82,0,25,0.0,1.0,0.7180722891566265,1.4506024096385541,0.0,120.8917156277944,1.0316199298702435
